id_ticket,duracion_proceso_horas,duracion_fase_horas,duracion_qa_horas,duracion_post_resolucion_horas
TCK-1001,1392.0,240.0,1152.0,1152.0
TCK-1003,2400.0,408.0,1992.0,1992.0
TCK-1015,1560.0,312.0,1248.0,1248.0
TCK-1004,4056.0,288.0,3768.0,3768.0
TCK-1002,3312.0,264.0,3048.0,3048.0
TCK-1016,1272.0,384.0,888.0,888.0
TCK-1007,3816.0,696.0,3120.0,3120.0
TCK-1008,4152.0,384.0,3768.0,3768.0
TCK-1020,4704.0,648.0,4056.0,4056.0
TCK-1027,2064.0,576.0,1488.0,1488.0
TCK-1011,2424.0,240.0,2184.0,2184.0
TCK-1019,1680.0,552.0,1128.0,1128.0
TCK-1013,2424.0,336.0,2088.0,2088.0
TCK-1039,2784.0,312.0,2472.0,2472.0
TCK-1051,3048.0,312.0,2736.0,2736.0
TCK-1028,2832.0,696.0,2136.0,2136.0
TCK-1014,984.0,576.0,408.0,408.0
TCK-1040,1464.0,528.0,936.0,936.0
TCK-1031,4104.0,456.0,3648.0,3648.0
TCK-1032,4560.0,696.0,3864.0,3864.0
TCK-1044,2928.0,672.0,2256.0,2256.0
TCK-1063,1128.0,264.0,864.0,864.0
TCK-1023,2112.0,456.0,1656.0,1656.0
TCK-1043,2136.0,312.0,1824.0,1824.0
TCK-1025,2424.0,576.0,1848.0,1848.0
TCK-1075,2952.0,360.0,2592.0,2592.0
TCK-1087,2880.0,384.0,2496.0,2496.0
TCK-1052,2352.0,720.0,1632.0,1632.0
TCK-1026,4440.0,720.0,3720.0,3720.0
TCK-1064,3984.0,408.0,3576.0,3576.0
TCK-1055,3552.0,528.0,3024.0,3024.0
TCK-1056,4632.0,648.0,3984.0,3984.0
TCK-1068,2712.0,264.0,2448.0,2448.0
TCK-1099,912.0,480.0,432.0,432.0
TCK-1035,2352.0,288.0,2064.0,2064.0
TCK-1067,4200.0,480.0,3720.0,3720.0
TCK-1037,4728.0,600.0,4128.0,4128.0
TCK-1111,4656.0,576.0,4080.0,4080.0
TCK-1123,2328.0,336.0,1992.0,1992.0
TCK-1076,4152.0,648.0,3504.0,3504.0
TCK-1038,4296.0,552.0,3744.0,3744.0
TCK-1088,4296.0,528.0,3768.0,3768.0
TCK-1079,2064.0,336.0,1728.0,1728.0
TCK-1080,3744.0,288.0,3456.0,3456.0
TCK-1092,1008.0,312.0,696.0,696.0
TCK-1135,4560.0,360.0,4200.0,4200.0
TCK-1047,3312.0,696.0,2616.0,2616.0
TCK-1091,3072.0,528.0,2544.0,2544.0
TCK-1049,3576.0,624.0,2952.0,2952.0
TCK-1147,4104.0,240.0,3864.0,3864.0
TCK-1159,1416.0,648.0,768.0,768.0
TCK-1100,2352.0,720.0,1632.0,1632.0
TCK-1050,1392.0,456.0,936.0,936.0
TCK-1112,1680.0,576.0,1104.0,1104.0
TCK-1103,2328.0,624.0,1704.0,1704.0
TCK-1104,1800.0,624.0,1176.0,1176.0
TCK-1116,1368.0,720.0,648.0,648.0
TCK-1010,4632.0,624.0,4008.0,4008.0
TCK-1059,1920.0,336.0,1584.0,1584.0
TCK-1115,1704.0,648.0,1056.0,1056.0
TCK-1061,3960.0,240.0,3720.0,3720.0
TCK-1022,2688.0,600.0,2088.0,2088.0
TCK-1034,1392.0,504.0,888.0,888.0
TCK-1124,2592.0,408.0,2184.0,2184.0
TCK-1062,2184.0,672.0,1512.0,1512.0
TCK-1136,1200.0,288.0,912.0,912.0
TCK-1127,3696.0,288.0,3408.0,3408.0
TCK-1128,3984.0,336.0,3648.0,3648.0
TCK-1140,4752.0,600.0,4152.0,4152.0
TCK-1046,4080.0,360.0,3720.0,3720.0
TCK-1071,3960.0,696.0,3264.0,3264.0
TCK-1139,2016.0,648.0,1368.0,1368.0
TCK-1073,1944.0,456.0,1488.0,1488.0
TCK-1058,4704.0,504.0,4200.0,4200.0
TCK-1070,3888.0,576.0,3312.0,3312.0
TCK-1148,2232.0,408.0,1824.0,1824.0
TCK-1074,2784.0,240.0,2544.0,2544.0
TCK-1160,4104.0,408.0,3696.0,3696.0
TCK-1151,2064.0,240.0,1824.0,1824.0
TCK-1152,4584.0,264.0,4320.0,4320.0
TCK-1164,1128.0,264.0,864.0,864.0
TCK-1082,2736.0,288.0,2448.0,2448.0
TCK-1083,2160.0,432.0,1728.0,1728.0
TCK-1163,3696.0,384.0,3312.0,3312.0
TCK-1085,1512.0,672.0,840.0,840.0
TCK-1086,3624.0,408.0,3216.0,3216.0
TCK-1098,3624.0,552.0,3072.0,3072.0
TCK-1172,1296.0,312.0,984.0,984.0
TCK-1110,3360.0,504.0,2856.0,2856.0
TCK-1184,3240.0,576.0,2664.0,2664.0
TCK-1175,1032.0,720.0,312.0,312.0
TCK-1176,1320.0,264.0,1056.0,1056.0
TCK-1188,2784.0,312.0,2472.0,2472.0
TCK-1094,1896.0,384.0,1512.0,1512.0
TCK-1095,3456.0,336.0,3120.0,3120.0
TCK-1187,1824.0,432.0,1392.0,1392.0
