id_ticket,actividad,inicio_actividad,fin_actividad,duracion_horas
TCK-1001,Aprobación por Comité,2025-01-12 12:23:00,2025-01-12 12:38:00,0.25
TCK-1001,Cierre del Ticket,2025-10-05 08:44:00,2025-10-05 08:59:00,0.25
TCK-1001,Creación de Ticket,2025-01-01 11:29:00,2025-01-01 11:44:00,0.25
TCK-1001,Evaluación de Requerimiento,2025-01-02 12:21:00,2025-01-02 12:36:00,0.25
TCK-1001,Fin de Fase,2025-12-12 13:37:00,2025-12-12 13:52:00,0.25
TCK-1001,Ingreso a Backlog,2025-01-10 14:18:00,2025-01-10 14:33:00,0.25
TCK-1001,Inicio de Fase,2025-11-05 18:18:00,2025-11-05 18:33:00,0.25
TCK-1001,Resolución del Requerimiento,2025-10-05 13:24:00,2025-10-05 13:39:00,0.25
TCK-1001,Validación QA,2025-11-26 13:45:00,2025-11-26 14:00:00,0.25
TCK-1002,Aprobación por Comité,2025-01-12 10:41:00,2025-01-12 10:56:00,0.25
TCK-1002,Cierre del Ticket,2025-10-05 18:58:00,2025-10-05 19:13:00,0.25
TCK-1002,Creación de Ticket,2025-01-01 15:49:00,2025-01-01 16:04:00,0.25
TCK-1002,Evaluación de Requerimiento,2025-01-02 12:22:00,2025-01-02 12:37:00,0.25
TCK-1002,Fin de Fase,2025-12-09 15:04:00,2025-12-09 15:19:00,0.25
TCK-1002,Ingreso a Backlog,2025-01-10 09:46:00,2025-01-10 10:01:00,0.25
TCK-1002,Inicio de Fase,2025-09-10 14:31:00,2025-09-10 14:46:00,0.25
TCK-1002,Resolución del Requerimiento,2025-10-05 11:54:00,2025-10-05 12:09:00,0.25
TCK-1002,Validación QA,2025-12-03 15:44:00,2025-12-03 15:59:00,0.25
TCK-1003,Aprobación por Comité,2025-01-12 14:31:00,2025-01-12 14:46:00,0.25
TCK-1003,Cierre del Ticket,2025-10-05 16:33:00,2025-10-05 16:48:00,0.25
TCK-1003,Creación de Ticket,2025-01-01 14:25:00,2025-01-01 14:40:00,0.25
TCK-1003,Evaluación de Requerimiento,2025-01-02 08:30:00,2025-01-02 08:45:00,0.25
TCK-1003,Fin de Fase,2025-12-10 08:01:00,2025-12-10 08:16:00,0.25
TCK-1003,Ingreso a Backlog,2025-01-10 18:27:00,2025-01-10 18:42:00,0.25
