id_ticket,secuencia_actividades
TCK-1001,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1002,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1003,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1004,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1005,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1006,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1007,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1008,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1009,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Inicio de Fase → Fin de Fase
TCK-1010,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1011,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1012,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1013,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1014,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1015,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1016,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1017,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1018,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1019,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1020,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1021,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Inicio de Fase → Fin de Fase
TCK-1022,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1023,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1024,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1025,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Inicio de Fase → Fin de Fase
TCK-1026,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1027,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Inicio de Fase → Fin de Fase
TCK-1028,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1029,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1030,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1031,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1032,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1033,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1034,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1035,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Inicio de Fase → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1036,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1037,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1038,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1039,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1040,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1041,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1042,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1043,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1044,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1045,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1046,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1047,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1048,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1049,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1050,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1051,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1052,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1053,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1054,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1055,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1056,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1057,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1058,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1059,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1060,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1061,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Inicio de Fase → Fin de Fase
TCK-1062,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1063,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1064,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1065,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1066,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1067,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1068,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1069,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1070,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1071,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
