id_ticket,actividad,inicio_actividad,fin_actividad,duracion_horas
TCK-1001,Aprobación por Comité,2025-01-12,2025-01-12,0.0
TCK-1001,Cierre del Ticket,2025-10-05,2025-10-05,0.0
TCK-1001,Creación de Ticket,2025-01-01,2025-01-01,0.0
TCK-1001,Evaluación de Requerimiento,2025-01-02,2025-01-02,0.0
TCK-1001,Fin de Fase,2025-12-12,2025-12-12,0.0
TCK-1001,Ingreso a Backlog,2025-01-10,2025-01-10,0.0
TCK-1001,Inicio de Fase,2025-11-05,2025-11-05,0.0
TCK-1001,Resolución del Requerimiento,2025-10-05,2025-10-05,0.0
TCK-1001,Validación QA,2025-11-26,2025-11-26,0.0
TCK-1002,Aprobación por Comité,2025-01-12,2025-01-12,0.0
TCK-1002,Cierre del Ticket,2025-10-05,2025-10-05,0.0
TCK-1002,Creación de Ticket,2025-01-01,2025-01-01,0.0
TCK-1002,Evaluación de Requerimiento,2025-01-02,2025-01-02,0.0
TCK-1002,Fin de Fase,2025-12-09,2025-12-09,0.0
TCK-1002,Ingreso a Backlog,2025-01-10,2025-01-10,0.0
TCK-1002,Inicio de Fase,2025-09-10,2025-09-10,0.0
TCK-1002,Resolución del Requerimiento,2025-10-05,2025-10-05,0.0
TCK-1002,Validación QA,2025-12-03,2025-12-03,0.0
TCK-1003,Aprobación por Comité,2025-01-12,2025-01-12,0.0
TCK-1003,Cierre del Ticket,2025-10-05,2025-10-05,0.0
TCK-1003,Creación de Ticket,2025-01-01,2025-01-01,0.0
TCK-1003,Evaluación de Requerimiento,2025-01-02,2025-01-02,0.0
TCK-1003,Fin de Fase,2025-12-10,2025-12-10,0.0
TCK-1003,Ingreso a Backlog,2025-01-10,2025-01-10,0.0
TCK-1003,Inicio de Fase,2025-09-24,2025-09-24,0.0
TCK-1003,Resolución del Requerimiento,2025-10-05,2025-10-05,0.0
TCK-1003,Validación QA,2025-11-29,2025-11-29,0.0
TCK-1004,Aprobación por Comité,2025-01-12,2025-01-12,0.0
TCK-1004,Cierre del Ticket,2025-10-05,2025-10-05,0.0
TCK-1004,Creación de Ticket,2025-01-01,2025-01-01,0.0
TCK-1004,Evaluación de Requerimiento,2025-01-02,2025-01-02,0.0
TCK-1004,Fin de Fase,2025-12-10,2025-12-10,0.0
TCK-1004,Ingreso a Backlog,2025-01-10,2025-01-10,0.0
TCK-1004,Inicio de Fase,2025-11-04,2025-11-04,0.0
TCK-1004,Resolución del Requerimiento,2025-10-05,2025-10-05,0.0
TCK-1004,Validación QA,2025-11-29,2025-11-29,0.0
TCK-1005,Aprobación por Comité,2025-01-13,2025-01-13,0.0
TCK-1005,Cierre del Ticket,2025-10-06,2025-10-06,0.0
TCK-1005,Creación de Ticket,2025-01-02,2025-01-02,0.0
TCK-1005,Evaluación de Requerimiento,2025-01-03,2025-01-03,0.0
TCK-1005,Fin de Fase,2025-12-13,2025-12-13,0.0
TCK-1005,Ingreso a Backlog,2025-01-11,2025-01-11,0.0
TCK-1005,Inicio de Fase,2025-11-17,2025-11-17,0.0
TCK-1005,Resolución del Requerimiento,2025-10-06,2025-10-06,0.0
TCK-1005,Validación QA,2025-11-23,2025-11-23,0.0
TCK-1006,Aprobación por Comité,2025-01-13,2025-01-13,0.0
TCK-1006,Cierre del Ticket,2025-10-06,2025-10-06,0.0
TCK-1006,Creación de Ticket,2025-01-02,2025-01-02,0.0
TCK-1006,Evaluación de Requerimiento,2025-01-03,2025-01-03,0.0
TCK-1006,Fin de Fase,2025-12-11,2025-12-11,0.0
TCK-1006,Ingreso a Backlog,2025-01-11,2025-01-11,0.0
TCK-1006,Inicio de Fase,2025-11-05,2025-11-05,0.0
TCK-1006,Resolución del Requerimiento,2025-10-06,2025-10-06,0.0
TCK-1006,Validación QA,2025-12-02,2025-12-02,0.0
TCK-1007,Aprobación por Comité,2025-01-13,2025-01-13,0.0
TCK-1007,Cierre del Ticket,2025-10-06,2025-10-06,0.0
TCK-1007,Creación de Ticket,2025-01-02,2025-01-02,0.0
TCK-1007,Evaluación de Requerimiento,2025-01-03,2025-01-03,0.0
TCK-1007,Fin de Fase,2025-12-13,2025-12-13,0.0
TCK-1007,Ingreso a Backlog,2025-01-11,2025-01-11,0.0
TCK-1007,Inicio de Fase,2025-10-08,2025-10-08,0.0
TCK-1007,Resolución del Requerimiento,2025-10-06,2025-10-06,0.0
TCK-1007,Validación QA,2025-11-25,2025-11-25,0.0
TCK-1008,Aprobación por Comité,2025-01-14,2025-01-14,0.0
TCK-1008,Cierre del Ticket,2025-10-07,2025-10-07,0.0
TCK-1008,Creación de Ticket,2025-01-03,2025-01-03,0.0
TCK-1008,Evaluación de Requerimiento,2025-01-04,2025-01-04,0.0
TCK-1008,Fin de Fase,2025-12-10,2025-12-10,0.0
TCK-1008,Ingreso a Backlog,2025-01-12,2025-01-12,0.0
TCK-1008,Inicio de Fase,2025-10-29,2025-10-29,0.0
TCK-1008,Resolución del Requerimiento,2025-10-07,2025-10-07,0.0
TCK-1008,Validación QA,2025-11-26,2025-11-26,0.0
TCK-1009,Aprobación por Comité,2025-01-14,2025-01-14,0.0
TCK-1009,Cierre del Ticket,2025-10-07,2025-10-07,0.0
TCK-1009,Creación de Ticket,2025-01-03,2025-01-03,0.0
TCK-1009,Evaluación de Requerimiento,2025-01-04,2025-01-04,0.0
TCK-1009,Fin de Fase,2025-12-08,2025-12-08,0.0
TCK-1009,Ingreso a Backlog,2025-01-12,2025-01-12,0.0
TCK-1009,Inicio de Fase,2025-11-27,2025-11-27,0.0
TCK-1009,Resolución del Requerimiento,2025-10-07,2025-10-07,0.0
TCK-1009,Validación QA,2025-11-23,2025-11-23,0.0
TCK-1010,Aprobación por Comité,2025-01-14,2025-01-14,0.0
TCK-1010,Cierre del Ticket,2025-10-07,2025-10-07,0.0
TCK-1010,Creación de Ticket,2025-01-03,2025-01-03,0.0
TCK-1010,Evaluación de Requerimiento,2025-01-04,2025-01-04,0.0
TCK-1010,Fin de Fase,2025-12-05,2025-12-05,0.0
TCK-1010,Ingreso a Backlog,2025-01-12,2025-01-12,0.0
TCK-1010,Inicio de Fase,2025-10-18,2025-10-18,0.0
TCK-1010,Resolución del Requerimiento,2025-10-07,2025-10-07,0.0
TCK-1010,Validación QA,2025-12-01,2025-12-01,0.0
TCK-1011,Aprobación por Comité,2025-01-14,2025-01-14,0.0
TCK-1011,Cierre del Ticket,2025-10-07,2025-10-07,0.0
TCK-1011,Creación de Ticket,2025-01-03,2025-01-03,0.0
TCK-1011,Evaluación de Requerimiento,2025-01-04,2025-01-04,0.0
TCK-1011,Fin de Fase,2025-12-05,2025-12-05,0.0
TCK-1011,Ingreso a Backlog,2025-01-12,2025-01-12,0.0
TCK-1011,Inicio de Fase,2025-10-05,2025-10-05,0.0
TCK-1011,Resolución del Requerimiento,2025-10-07,2025-10-07,0.0
TCK-1011,Validación QA,2025-11-30,2025-11-30,0.0
TCK-1012,Aprobación por Comité,2025-01-15,2025-01-15,0.0
TCK-1012,Cierre del Ticket,2025-10-08,2025-10-08,0.0
TCK-1012,Creación de Ticket,2025-01-04,2025-01-04,0.0
TCK-1012,Evaluación de Requerimiento,2025-01-05,2025-01-05,0.0
TCK-1012,Fin de Fase,2025-12-12,2025-12-12,0.0
TCK-1012,Ingreso a Backlog,2025-01-13,2025-01-13,0.0
TCK-1012,Inicio de Fase,2025-10-11,2025-10-11,0.0
TCK-1012,Resolución del Requerimiento,2025-10-08,2025-10-08,0.0
TCK-1012,Validación QA,2025-12-02,2025-12-02,0.0
TCK-1013,Aprobación por Comité,2025-01-15,2025-01-15,0.0
TCK-1013,Cierre del Ticket,2025-10-08,2025-10-08,0.0
TCK-1013,Creación de Ticket,2025-01-04,2025-01-04,0.0
TCK-1013,Evaluación de Requerimiento,2025-01-05,2025-01-05,0.0
TCK-1013,Fin de Fase,2025-12-11,2025-12-11,0.0
TCK-1013,Ingreso a Backlog,2025-01-13,2025-01-13,0.0
TCK-1013,Inicio de Fase,2025-09-29,2025-09-29,0.0
TCK-1013,Resolución del Requerimiento,2025-10-08,2025-10-08,0.0
TCK-1013,Validación QA,2025-11-29,2025-11-29,0.0
TCK-1014,Aprobación por Comité,2025-01-15,2025-01-15,0.0
TCK-1014,Cierre del Ticket,2025-10-08,2025-10-08,0.0
TCK-1014,Creación de Ticket,2025-01-04,2025-01-04,0.0
TCK-1014,Evaluación de Requerimiento,2025-01-05,2025-01-05,0.0
TCK-1014,Fin de Fase,2025-12-12,2025-12-12,0.0
TCK-1014,Ingreso a Backlog,2025-01-13,2025-01-13,0.0
TCK-1014,Inicio de Fase,2025-09-18,2025-09-18,0.0
TCK-1014,Resolución del Requerimiento,2025-10-08,2025-10-08,0.0
TCK-1014,Validación QA,2025-11-24,2025-11-24,0.0
TCK-1015,Aprobación por Comité,2025-01-16,2025-01-16,0.0
TCK-1015,Cierre del Ticket,2025-10-09,2025-10-09,0.0
TCK-1015,Creación de Ticket,2025-01-05,2025-01-05,0.0
TCK-1015,Evaluación de Requerimiento,2025-01-06,2025-01-06,0.0
TCK-1015,Fin de Fase,2025-12-11,2025-12-11,0.0
TCK-1015,Ingreso a Backlog,2025-01-14,2025-01-14,0.0
TCK-1015,Inicio de Fase,2025-11-18,2025-11-18,0.0
TCK-1015,Resolución del Requerimiento,2025-10-09,2025-10-09,0.0
TCK-1015,Validación QA,2025-11-27,2025-11-27,0.0
TCK-1016,Aprobación por Comité,2025-01-16,2025-01-16,0.0
TCK-1016,Cierre del Ticket,2025-10-09,2025-10-09,0.0
TCK-1016,Creación de Ticket,2025-01-05,2025-01-05,0.0
TCK-1016,Evaluación de Requerimiento,2025-01-06,2025-01-06,0.0
TCK-1016,Fin de Fase,2025-12-12,2025-12-12,0.0
TCK-1016,Ingreso a Backlog,2025-01-14,2025-01-14,0.0
TCK-1016,Inicio de Fase,2025-11-14,2025-11-14,0.0
TCK-1016,Resolución del Requerimiento,2025-10-09,2025-10-09,0.0
TCK-1016,Validación QA,2025-11-30,2025-11-30,0.0
TCK-1017,Aprobación por Comité,2025-01-16,2025-01-16,0.0
TCK-1017,Cierre del Ticket,2025-10-09,2025-10-09,0.0
TCK-1017,Creación de Ticket,2025-01-05,2025-01-05,0.0
TCK-1017,Evaluación de Requerimiento,2025-01-06,2025-01-06,0.0
TCK-1017,Fin de Fase,2025-12-12,2025-12-12,0.0
TCK-1017,Ingreso a Backlog,2025-01-14,2025-01-14,0.0
TCK-1017,Inicio de Fase,2025-09-05,2025-09-05,0.0
TCK-1017,Resolución del Requerimiento,2025-10-09,2025-10-09,0.0
TCK-1017,Validación QA,2025-11-29,2025-11-29,0.0
TCK-1018,Aprobación por Comité,2025-01-17,2025-01-17,0.0
TCK-1018,Cierre del Ticket,2025-10-10,2025-10-10,0.0
TCK-1018,Creación de Ticket,2025-01-06,2025-01-06,0.0
TCK-1018,Evaluación de Requerimiento,2025-01-07,2025-01-07,0.0
TCK-1018,Fin de Fase,2025-12-13,2025-12-13,0.0
TCK-1018,Ingreso a Backlog,2025-01-15,2025-01-15,0.0
TCK-1018,Inicio de Fase,2025-10-15,2025-10-15,0.0
TCK-1018,Resolución del Requerimiento,2025-10-10,2025-10-10,0.0
TCK-1018,Validación QA,2025-11-30,2025-11-30,0.0
TCK-1019,Aprobación por Comité,2025-01-17,2025-01-17,0.0
TCK-1019,Cierre del Ticket,2025-10-10,2025-10-10,0.0
TCK-1019,Creación de Ticket,2025-01-06,2025-01-06,0.0
TCK-1019,Evaluación de Requerimiento,2025-01-07,2025-01-07,0.0
TCK-1019,Fin de Fase,2025-12-04,2025-12-04,0.0
TCK-1019,Ingreso a Backlog,2025-01-15,2025-01-15,0.0
TCK-1019,Inicio de Fase,2025-10-12,2025-10-12,0.0
TCK-1019,Resolución del Requerimiento,2025-10-10,2025-10-10,0.0
TCK-1019,Validación QA,2025-12-01,2025-12-01,0.0
TCK-1020,Aprobación por Comité,2025-01-17,2025-01-17,0.0
TCK-1020,Cierre del Ticket,2025-10-10,2025-10-10,0.0
TCK-1020,Creación de Ticket,2025-01-06,2025-01-06,0.0
TCK-1020,Evaluación de Requerimiento,2025-01-07,2025-01-07,0.0
TCK-1020,Fin de Fase,2025-12-06,2025-12-06,0.0
TCK-1020,Ingreso a Backlog,2025-01-15,2025-01-15,0.0
TCK-1020,Inicio de Fase,2025-10-18,2025-10-18,0.0
TCK-1020,Resolución del Requerimiento,2025-10-10,2025-10-10,0.0
TCK-1020,Validación QA,2025-11-28,2025-11-28,0.0
TCK-1021,Aprobación por Comité,2025-01-17,2025-01-17,0.0
TCK-1021,Cierre del Ticket,2025-10-10,2025-10-10,0.0
TCK-1021,Creación de Ticket,2025-01-06,2025-01-06,0.0
TCK-1021,Evaluación de Requerimiento,2025-01-07,2025-01-07,0.0
TCK-1021,Fin de Fase,2025-12-11,2025-12-11,0.0
TCK-1021,Ingreso a Backlog,2025-01-15,2025-01-15,0.0
TCK-1021,Inicio de Fase,2025-12-03,2025-12-03,0.0
TCK-1021,Resolución del Requerimiento,2025-10-10,2025-10-10,0.0
TCK-1021,Validación QA,2025-11-27,2025-11-27,0.0
TCK-1022,Aprobación por Comité,2025-01-18,2025-01-18,0.0
TCK-1022,Cierre del Ticket,2025-10-11,2025-10-11,0.0
TCK-1022,Creación de Ticket,2025-01-07,2025-01-07,0.0
TCK-1022,Evaluación de Requerimiento,2025-01-08,2025-01-08,0.0
TCK-1022,Fin de Fase,2025-12-05,2025-12-05,0.0
TCK-1022,Ingreso a Backlog,2025-01-16,2025-01-16,0.0
TCK-1022,Inicio de Fase,2025-10-25,2025-10-25,0.0
TCK-1022,Resolución del Requerimiento,2025-10-11,2025-10-11,0.0
TCK-1022,Validación QA,2025-11-23,2025-11-23,0.0
TCK-1023,Aprobación por Comité,2025-01-18,2025-01-18,0.0
TCK-1023,Cierre del Ticket,2025-10-11,2025-10-11,0.0
TCK-1023,Creación de Ticket,2025-01-07,2025-01-07,0.0
